dish_id,restaurant_id,name,price,calories,protein_g,carb_g,fat_g,diet_tags,cuisine_type,food_category,rating,order_count,is_available,image_url
D0001,R1,Hủ Tiếu Đặc biệt,93000,225,5.0,22.4,12.8,"[""healthy""]",vn,main,4.7,3623,True,https://loremflickr.com/400/300/hutieu?lock=1
D0002,R1,Bánh Cuốn Nhỏ,22000,989,38.8,110.3,43.6,"[""bulking"", ""high_protein""]",vn,main,4.6,2908,True,https://loremflickr.com/400/300/banhcuon?lock=2
D0003,R1,Bún Bò Mix,86000,981,52.4,106.3,38.5,"[""bulking"", ""high_protein""]",vn,main,4.5,4229,True,https://loremflickr.com/400/300/bunbo?lock=3
D0004,R1,Cơm Tấm Truyền thống,46000,412,46.6,5.0,22.9,"[""high_protein""]",vn,main,4.4,169,True,https://loremflickr.com/400/300/comtam?lock=4
D0005,R1,Gỏi Cuốn Truyền thống,74000,985,51.7,101.1,41.5,"[""bulking"", ""high_protein""]",vn,main,4.5,4491,True,https://loremflickr.com/400/300/goicuon?lock=5
D0006,R1,Bún Bò Đặc biệt,19000,465,28.6,37.8,22.2,"[""low_carb"", ""healthy""]",vn,main,4.2,4838,True,https://loremflickr.com/400/300/bunbo?lock=6
D0007,R1,Bánh Cuốn Lớn,17000,458,57.0,10.2,21.0,"[""high_protein""]",vn,main,4.0,2256,True,https://loremflickr.com/400/300/banhcuon?lock=7
D0008,R1,Hủ Tiếu Đặc biệt,235000,241,5.0,35.4,8.9,"[""eat_clean"", ""healthy""]",vn,main,4.6,3254,True,https://loremflickr.com/400/300/hutieu?lock=8
D0009,R4,Gỏi Cuốn Mix,44000,948,43.8,168.2,11.1,"[""high_protein""]",vn,main,4.9,791,True,https://loremflickr.com/400/300/goicuon?lock=9
D0010,R4,Bánh Xèo Nhỏ,35000,425,62.3,22.7,9.4,"[""eat_clean"", ""healthy""]",vn,main,4.5,3600,True,https://loremflickr.com/400/300/banhxeo?lock=10
D0011,R4,Phở Lớn,69000,450,76.8,23.0,5.6,"[""healthy""]",vn,main,4.7,2019,True,"https://loremflickr.com/400/300/pho,noodle?lock=11"
D0012,R4,Chả Giò Nhỏ,88000,224,5.0,33.0,8.1,"[""eat_clean"", ""healthy""]",vn,main,4.6,3019,True,https://loremflickr.com/400/300/springroll?lock=12
D0013,R4,Bún Bò Mix,70000,954,36.6,165.7,16.2,"[""high_protein""]",vn,main,4.2,4660,True,https://loremflickr.com/400/300/bunbo?lock=13
D0014,R4,Bún Chả Đặc biệt,212000,450,60.8,33.9,7.9,"[""eat_clean"", ""healthy""]",vn,main,4.9,1639,True,https://loremflickr.com/400/300/buncha?lock=14
D0015,R4,Bún Chả Mix,48000,682,86.5,23.3,27.0,"[""low_carb""]",vn,main,4.4,4594,True,https://loremflickr.com/400/300/buncha?lock=15
D0016,R4,Phở Đặc biệt,25000,737,43.0,97.4,19.5,"[""high_protein""]",vn,main,4.1,2380,True,"https://loremflickr.com/400/300/pho,noodle?lock=16"
D0017,R6,Cơm Tấm Đặc biệt,47000,693,101.2,51.9,9.0,"[""healthy""]",vn,main,4.9,1988,True,https://loremflickr.com/400/300/comtam?lock=17
D0018,R6,Bún Chả Nhỏ,35000,407,52.8,37.6,5.1,"[""healthy""]",vn,main,4.6,4164,True,https://loremflickr.com/400/300/buncha?lock=18
D0019,R6,Hủ Tiếu Nhỏ,68000,675,91.1,49.8,12.4,"[""healthy""]",vn,main,4.3,4687,True,https://loremflickr.com/400/300/hutieu?lock=19
D0020,R6,Bún Bò Lớn,156000,270,18.9,33.6,6.7,"[""healthy""]",vn,main,4.9,194,True,https://loremflickr.com/400/300/bunbo?lock=20
D0021,R6,Bún Bò Đặc biệt,55000,450,50.9,33.7,12.4,"[""eat_clean"", ""healthy""]",vn,main,4.4,2782,True,https://loremflickr.com/400/300/bunbo?lock=21
D0022,R6,Hủ Tiếu Lớn,27000,255,5.0,27.2,14.1,"[""healthy""]",vn,main,4.3,59,True,https://loremflickr.com/400/300/hutieu?lock=22
D0023,R6,Bánh Mì Đặc biệt,182000,333,5.0,30.2,21.4,"[""low_carb"", ""healthy""]",vn,main,4.1,3729,True,https://loremflickr.com/400/300/banhmi?lock=23
D0024,R6,Hủ Tiếu Lớn,71000,346,5.0,17.8,28.4,"[""low_carb"", ""healthy""]",vn,main,5.0,4962,True,https://loremflickr.com/400/300/hutieu?lock=24
D0025,R7,Phở Nhỏ,124000,925,44.5,98.1,39.4,"[""bulking"", ""high_protein""]",vn,main,4.7,3406,True,"https://loremflickr.com/400/300/pho,noodle?lock=25"
D0026,R7,Chả Giò Mix,24000,400,66.4,22.0,5.2,"[""healthy""]",vn,main,4.8,2917,True,https://loremflickr.com/400/300/springroll?lock=26
D0027,R7,Bánh Cuốn Nhỏ,43000,917,41.8,118.0,30.9,"[""bulking"", ""high_protein""]",vn,main,4.6,2482,True,https://loremflickr.com/400/300/banhcuon?lock=27
D0028,R7,Chả Giò Đặc biệt,141000,658,100.4,43.3,9.3,"[""healthy""]",vn,main,4.4,1059,True,https://loremflickr.com/400/300/springroll?lock=28
D0029,R7,Bún Bò Mix,111000,989,56.1,87.5,46.1,"[""bulking"", ""high_protein""]",vn,main,4.2,4417,True,https://loremflickr.com/400/300/bunbo?lock=29
D0030,R7,Bánh Mì Mix,38000,1048,187.8,55.2,8.4,"[""healthy""]",vn,main,4.4,4112,True,https://loremflickr.com/400/300/banhmi?lock=30
D0031,R7,Bún Chả Mix,92000,441,51.3,18.8,17.8,"[""high_protein""]",vn,main,4.1,3703,True,https://loremflickr.com/400/300/buncha?lock=31
D0032,R7,Bánh Cuốn Đặc biệt,21000,349,49.3,5.0,14.7,"[""high_protein""]",vn,main,4.6,4841,True,https://loremflickr.com/400/300/banhcuon?lock=32
D0033,R11,Bánh Cuốn Mix,172000,993,45.9,100.5,45.3,"[""bulking"", ""high_protein""]",vn,main,4.7,774,True,https://loremflickr.com/400/300/banhcuon?lock=33
D0034,R11,Bún Chả Truyền thống,15000,705,98.8,11.0,29.5,"[""low_carb""]",vn,main,4.4,3140,True,https://loremflickr.com/400/300/buncha?lock=34
D0035,R11,Bánh Xèo Truyền thống,39000,485,45.6,24.2,22.9,"[""high_protein""]",vn,main,4.2,4595,True,https://loremflickr.com/400/300/banhxeo?lock=35
D0036,R11,Bánh Cuốn Đặc biệt,70000,947,176.0,15.3,20.2,"[""low_carb""]",vn,main,4.9,1464,True,https://loremflickr.com/400/300/banhcuon?lock=36
D0037,R11,Bánh Xèo Đặc biệt,49000,433,27.6,21.4,26.4,"[""low_carb"", ""healthy""]",vn,main,4.3,983,True,https://loremflickr.com/400/300/banhxeo?lock=37
D0038,R11,Chả Giò Nhỏ,37000,654,78.2,53.1,14.3,"[""eat_clean"", ""healthy""]",vn,main,4.5,3631,True,https://loremflickr.com/400/300/springroll?lock=38
D0039,R11,Cơm Tấm Lớn,60000,431,53.9,5.0,21.7,"[""high_protein""]",vn,main,5.0,4918,True,https://loremflickr.com/400/300/comtam?lock=39
D0040,R11,Chả Giò Nhỏ,79000,659,109.0,17.0,17.2,"[""low_carb""]",vn,main,4.6,1459,True,https://loremflickr.com/400/300/springroll?lock=40
D0041,R2,Samgyeopsal Mix,35000,999,42.3,113.7,41.8,"[""bulking"", ""high_protein""]",kr,main,4.2,448,True,https://loremflickr.com/400/300/samgyeopsal?lock=41
D0042,R2,Pancake Truyền thống,22000,961,45.4,91.5,45.9,"[""bulking"", ""high_protein""]",kr,main,4.8,4638,True,https://loremflickr.com/400/300/pajeon?lock=42
D0043,R2,Samgyeopsal Nhỏ,16000,749,84.2,69.4,15.0,"[""healthy""]",kr,main,4.7,3187,True,https://loremflickr.com/400/300/samgyeopsal?lock=43
D0044,R2,Bibimbap Mix,48000,973,59.6,96.9,38.5,"[""bulking"", ""high_protein""]",kr,main,4.4,1402,True,https://loremflickr.com/400/300/bibimbap?lock=44
D0045,R2,Kimchi Lớn,45000,949,132.5,38.8,29.3,"[""low_carb""]",kr,main,4.0,4976,True,https://loremflickr.com/400/300/kimchi?lock=45
D0046,R2,Bibimbap Lớn,30000,997,164.0,61.1,10.8,"[""eat_clean"", ""healthy""]",kr,main,4.4,3914,True,https://loremflickr.com/400/300/bibimbap?lock=46
D0047,R2,Bibimbap Mix,70000,1023,178.9,59.1,7.9,"[""eat_clean"", ""healthy""]",kr,main,4.9,157,True,https://loremflickr.com/400/300/bibimbap?lock=47
D0048,R2,Bulgogi Nhỏ,87000,878,58.8,106.1,24.3,"[""bulking"", ""high_protein""]",kr,main,4.2,1055,True,https://loremflickr.com/400/300/bulgogi?lock=48
D0049,R17,Bulgogi Mix,16000,900,155.0,57.7,5.4,"[""healthy""]",kr,main,4.8,4231,True,https://loremflickr.com/400/300/bulgogi?lock=49
D0050,R17,Fried Chicken Đặc biệt,49000,249,5.0,25.5,14.1,"[""healthy""]",kr,main,4.9,4092,True,https://loremflickr.com/400/300/friedchicken?lock=50
D0051,R17,Bibimbap Nhỏ,39000,694,57.7,83.4,14.4,"[""high_protein""]",kr,main,4.5,2049,True,https://loremflickr.com/400/300/bibimbap?lock=51
D0052,R17,Kimchi Mix,48000,232,5.0,10.0,19.1,"[""low_carb"", ""healthy""]",kr,main,4.5,1820,True,https://loremflickr.com/400/300/kimchi?lock=52
D0053,R17,Bulgogi Mix,94000,705,93.8,56.3,11.6,"[""eat_clean"", ""healthy""]",kr,main,4.8,1270,True,https://loremflickr.com/400/300/bulgogi?lock=53
D0054,R17,Bibimbap Lớn,180000,1030,51.2,108.8,43.3,"[""bulking"", ""high_protein""]",kr,main,4.1,2207,True,https://loremflickr.com/400/300/bibimbap?lock=54
D0055,R17,Kimbap Truyền thống,29000,976,184.3,24.8,15.5,"[""low_carb""]",kr,main,4.1,4044,True,https://loremflickr.com/400/300/kimbap?lock=55
