restaurant_id,name,slug,lat,lng,address,open_hours,is_open,rating,review_count,price_avg,price_range_label,avg_prep_time,cuisine_type,cover_image_url,phone_number
R1,Cơm Tấm Ba Ghiền,com-tam-ba-ghien,10.7932,106.6781,84 Đặng Văn Ngữ Phường 10 Phú Nhuận,07:00-21:30,True,4.8,1250,55000,50-100k,10,vn,https://images.unsplash.com/photo-1582878826629-29b7ad1cb461?auto=format&fit=crop&w=800&q=80,901234567
R4,Nhà hàng chay Hoa Sen,chay-hoa-sen,10.7689,106.6953,250 Lê Thánh Tôn Quận 1,07:00-20:00,True,4.7,450,35000,30-50k,15,vn,https://images.unsplash.com/photo-1582878826629-29b7ad1cb461?auto=format&fit=crop&w=800&q=80,903456789
R6,Phở Lệ Nguyễn Trãi,pho-le-nguyen-trai,10.7584,106.6745,413 Nguyễn Trãi Quận 5,06:00-01:00,True,4.6,2100,65000,50-100k,5,vn,https://images.unsplash.com/photo-1582878826629-29b7ad1cb461?auto=format&fit=crop&w=800&q=80,905678901
R7,Bún Bò Huế Hạnh,bun-bo-hue-hanh,10.7852,106.6618,135 Bành Văn Trân Tân Bình,06:00-13:30,False,4.3,340,60000,50-100k,5,vn,https://images.unsplash.com/photo-1582878826629-29b7ad1cb461?auto=format&fit=crop&w=800&q=80,906789012
R11,Bánh Mì Huỳnh Hoa,banh-mi-huynh-hoa,10.772,106.6931,26 Lê Thị Riêng Quận 1,14:00-23:00,True,4.9,5000,68000,50-100k,5,vn,https://images.unsplash.com/photo-1582878826629-29b7ad1cb461?auto=format&fit=crop&w=800&q=80,909123456
R2,Mì Cay Sasin,mi-cay-sasin,10.7715,106.6624,11 Sư Vạn Hạnh Phường 12 Quận 10,09:00-22:30,True,4.2,890,60000,50-100k,15,kr,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,902345678
R17,Lotteria Lotte Mart,lotteria-lotte-mart,10.7351,106.6983,469 Nguyễn Hữu Thọ Quận 7,08:30-22:00,True,4.0,600,65000,50-100k,10,kr,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,19006778
R18,Dookki Vạn Hạnh Mall,dookki-van-hanh-mall,10.7712,106.6698,11 Sư Vạn Hạnh Quận 10,10:30-22:00,True,4.2,1500,139000,over100k,5,kr,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,2836368668
R10,King BBQ,king-bbq,10.723605557291044,106.69305792337056,Mock Address for King BBQ,09:00-22:00,True,4.6,1934,100000,50-100k,15,kr,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,902939594
R11,BBQ Chicken,bbq-chicken,10.767544618389763,106.60557395754503,Mock Address for BBQ Chicken,09:00-22:00,True,5.0,1599,200000,50-100k,15,kr,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,901635191
R3,KFC Trần Hưng Đạo,kfc-tran-hung-dao,10.7551,106.6812,104 Trần Hưng Đạo Quận 5,09:00-23:00,True,4.0,3200,65000,50-100k,8,eu,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,19001598
R8,McDonald's Bưu Điện,mcdonalds-buu-dien,10.7801,106.7003,2 Công xã Paris Quận 1,00:00-23:59,True,4.1,4500,70000,50-100k,5,eu,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,19009001
R9,The Salad Station,the-salad-station,10.7825,106.6896,15 Pasteur Quận 1,08:00-21:00,True,4.8,620,85000,50-100k,10,eu,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,907890123
R12,Pizza 4P's Hai Bà Trưng,pizza-4ps-hai-ba-trung,10.7831,106.6968,151B Hai Bà Trưng Quận 3,11:00-22:30,True,4.9,6500,250000,over100k,20,eu,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,2836220500
R12,Subway,subway,10.71580029102042,106.64253867642834,Mock Address for Subway,09:00-22:00,True,4.5,1528,50000,50-100k,15,eu,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,909389237
